k,seed,split,auroc,f1,accuracy,precision,recall,loss
4,15,test,0.654489,0.674157,0.614476,0.590810,0.784884,0.677623
4,15,ood,0.279803,0.666667,0.500000,0.500000,1.000000,1.167513
4,16,test,0.643054,0.645833,0.598227,0.584906,0.720930,0.671704
4,16,ood,0.452019,0.660250,0.492867,0.496407,0.985533,0.937680
4,17,test,0.656409,0.649161,0.598720,0.584043,0.730620,0.655236
4,17,ood,0.217001,0.665302,0.498467,0.499232,0.996933,1.140312
4,18,test,0.662536,0.651872,0.629247,0.623342,0.683140,0.666395
4,18,ood,0.497521,0.666667,0.500000,0.500000,1.000000,1.471074
4,19,test,0.669035,0.671960,0.613491,0.590742,0.779070,0.649856
4,19,ood,0.476592,0.666444,0.499867,0.499933,0.999267,0.948146
4,2,test,0.642139,0.502661,0.585918,0.644917,0.411822,0.667476
4,2,ood,0.446654,0.611211,0.460167,0.477584,0.848667,0.729579
4,20,test,0.672658,0.663982,0.630231,0.616791,0.718992,0.656414
4,20,ood,0.673762,0.667156,0.501100,0.500551,1.000000,1.315841
4,3,test,0.670518,0.663212,0.615953,0.598131,0.744186,0.649401
4,3,ood,0.656644,0.667616,0.502200,0.501103,0.999867,1.808158
4,4,test,0.674196,0.658494,0.615953,0.600639,0.728682,0.652444
4,4,ood,0.519573,0.666667,0.500000,0.500000,1.000000,1.392100
4,5,test,0.649195,0.565900,0.591334,0.614773,0.524225,0.656657
4,5,ood,0.592230,0.620615,0.497467,0.498464,0.822067,0.683862
4,6,test,0.656662,0.597044,0.597243,0.607214,0.587209,0.663510
4,6,ood,0.788183,0.649187,0.484867,0.492186,0.953267,0.775668
4,7,test,0.662442,0.617176,0.611521,0.618076,0.616279,0.648088
4,7,ood,0.486656,0.668150,0.507967,0.504053,0.990667,0.965444
4,8,test,0.631365,0.589381,0.584934,0.592556,0.586240,0.663049
4,8,ood,0.527715,0.653204,0.499100,0.499523,0.943467,0.732990
4,9,test,0.642945,0.634720,0.602166,0.594915,0.680233,0.654968
4,9,ood,0.872176,0.666978,0.501300,0.500652,0.998800,0.662361
5,1,test,0.673069,0.593164,0.616025,0.642005,0.551230,0.660248
5,1,ood,0.814465,0.666667,0.500000,0.500000,1.000000,1.136270
5,10,test,0.660121,0.640351,0.616025,0.610595,0.673156,0.668463
5,10,ood,0.394646,0.666354,0.501767,0.500889,0.995067,0.829602
5,11,test,0.645483,0.645249,0.592092,0.577796,0.730533,0.664181
5,11,ood,0.368817,0.578312,0.438733,0.463137,0.769733,0.731962
5,12,test,0.673084,0.587778,0.613944,0.641990,0.542008,0.668328
