k,seed,split,auroc,f1,accuracy,precision,recall,loss
5,3,test,0.9919294458543605,0.9914285714285714,0.9906832298136646,0.994269340974212,0.9886039886039886,0.0710118338453564
5,4,ood,0.47389286725995927,0.6253353024503451,0.48657690401453824,0.4922887106724244,0.8569304477118784,3.938316774364011
5,4,test,0.9933490854992562,0.9829059829059829,0.9813664596273292,0.9829059829059829,0.9829059829059829,0.1265682642432304
5,5,ood,0.4816623167254154,0.5916155758077879,0.49103750206509167,0.49399524046709836,0.7373203370229638,1.6710285753444762
5,5,test,0.9921433641570161,0.9757489300998573,0.9736024844720497,0.9771428571428571,0.9743589743589743,0.10213441770922925
5,6,ood,0.49136270027227136,0.585205739036275,0.49372212126218407,0.49564370056173335,0.7142739137617711,2.6636365615864883
5,6,test,0.9993776922104567,0.9943181818181818,0.9937888198757764,0.9915014164305949,0.9971509971509972,0.035474754519998986
5,7,ood,0.4926875113489633,0.5345311197028277,0.49281348091855276,0.4939058559820678,0.5824384602676359,3.008353147434275
5,7,test,0.9962953239403751,0.9871977240398293,0.9860248447204969,0.9857954545454546,0.9886039886039886,0.09288647906370377
5,8,ood,0.5039665727125573,0.6292290961817303,0.49306129192136133,0.49599961901133444,0.8603171980835949,2.7724293103033144
5,8,test,0.9918079013642154,0.9785407725321889,0.9767080745341615,0.9827586206896551,0.9743589743589743,0.10497923327022277
5,9,ood,0.496554439037579,0.4593825073405107,0.4981001156451346,0.4977824913227921,0.426482735833471,1.766418681355732
5,9,test,0.9949923670060189,0.9872340425531915,0.9860248447204969,0.9830508474576272,0.9914529914529915,0.06566583705855356
5,10,ood,0.48762869516309876,0.6525440619572336,0.4959937221212622,0.4978926786878123,0.9465554270609615,3.3192919409296215
5,10,test,0.9912974145056056,0.9801699716713881,0.9782608695652174,0.9746478873239437,0.9857549857549858,0.10453239641390696
5,11,ood,0.4942707574091723,0.6300683927699072,0.4995869816619858,0.4997578223384675,0.8523046423261192,2.3454503485763167
5,11,test,0.9963244946180099,0.9770773638968482,0.9751552795031055,0.9827089337175793,0.9715099715099715,0.07976805525166648
5,12,ood,0.49206889817297284,0.3674144526000207,0.49454815793821244,0.4908839779005525,0.2935734346604989,2.3205387202956405
5,12,test,0.9963439417364331,0.9859154929577465,0.984472049689441,0.9749303621169917,0.9971509971509972,0.0627940407610454
5,13,ood,0.5079065786499775,0.6388168291737484,0.49971088716339007,0.4998366851756801,0.8848504873616388,2.196981022466599
5,13,test,0.9895471738475152,0.98005698005698,0.9782608695652174,0.98005698005698,0.98005698005698,0.09707778327893243
5,14,ood,0.4828429534922929,0.49973681013888327,0.4897158433834462,0.49011198475101264,0.5097472327771353,3.235630593652612
5,14,test,0.9955271627626576,0.9857954545454546,0.984472049689441,0.9830028328611898,0.9886039886039886,0.07587706517577837
5,15,ood,0.4959217014941725,0.5687537820809454,0.4996282834957872,0.4997185212985551,0.6599207004791012,1.895839214403689
5,15,test,0.9916960804332817,0.9728958630527818,0.9704968944099379,0.9742857142857143,0.9715099715099715,0.10576540792161333
5,16,ood,0.48734686626958856,0.5605704099821747,0.49091359656368744,0.4931008529854491,0.6494300346935404,1.7878229605474434
5,16,test,0.985473002537849,0.9714285714285714,0.968944099378882,0.9742120343839542,0.9686609686609686,0.13274837448261678
5,17,ood,0.5019882196498254,0.6162939297124601,0.5039649760449364,0.502500781494217,0.7967123740294069,2.815262238328964
5,17,test,0.9873642348045079,0.9857549857549858,0.984472049689441,0.9857549857549858,0.9857549857549858,0.10204688059803586
5,18,ood,0.5049476123800858,0.6103368176538908,0.5011564513464398,0.5007411328745368,0.7813480918552784,2.1134057763073213
5,18,test,0.9943603356572641,0.9843081312410842,0.9829192546583851,0.9857142857142858,0.9829059829059829,0.07464781802125453
5,19,ood,0.5012865115238871,0.21900720164609053,0.4983479266479432,0.4941961694718514,0.14067404592763919,2.5372379662486253
